N_unmapped	7	7	7
N_multimapping	0	0	0
N_noFeature	0	0	0
N_ambiguous	0	0	0
gene_0	0	0	0
gene_1	0	0	0
gene_2	0	0	0
gene_3	0	0	0
gene_4	0	0	0
gene_5	0	0	0
gene_6	0	0	0
gene_7	0	0	0
gene_8	0	0	0
gene_9	0	0	0
gene_10	0	0	0
gene_11	0	0	0
gene_12	0	0	0
gene_13	0	0	0
gene_14	0	0	0
gene_15	0	0	0
gene_16	0	0	0
gene_17	0	0	0
gene_18	0	0	0
gene_19	0	0	0
gene_20	0	0	0
gene_21	0	0	0
gene_22	0	0	0
gene_23	0	0	0
gene_24	0	0	0
gene_25	0	0	0
gene_26	0	0	0
gene_27	0	0	0
gene_28	0	0	0
gene_29	0	0	0
gene_30	0	0	0
gene_31	0	0	0
gene_32	0	0	0
gene_33	0	0	0
gene_34	0	0	0
gene_35	0	0	0
gene_36	0	0	0
gene_37	0	0	0
gene_38	0	0	0
gene_39	0	0	0
gene_40	0	0	0
gene_41	0	0	0
gene_42	0	0	0
gene_43	0	0	0
gene_44	0	0	0
gene_45	0	0	0
gene_46	0	0	0
gene_47	0	0	0
gene_48	0	0	0
gene_49	0	0	0
